Sun		332946.0487 	3.767034506886136E-03 1.749951756466290E-03 -1.622857263548784E-04 		3.056448131056794E-07 6.979349570373394E-06 -1.372792371388565E-08
Mercury		0.0553 			-1.356148071625742E-01 -4.425939835423224E-01 -2.368235771936290E-02 	2.119472921550799E-02 -7.011195601443438E-03 -2.517928565287822E-03
Venus		0.815 			-6.348015521220146E-02 -7.217446535541122E-01 -6.201340067821050E-03 	2.000465299683628E-02 -1.942773932048434E-03 -1.181123798478199E-03
Earth		1 				-8.570898450412483E-01 4.877216824403108E-01 -1.735364367275979E-04 	-8.731462586866216E-03 -1.503635146843511E-02 2.020453231255126E-07
Moon		0.0123000371 	-8.583296914817340E-01 4.900016471295919E-01 -3.643462098579339E-04 	-9.255791120223044E-03 -1.529349096798208E-02 3.057499398149796E-05
Mars		0.107 			-1.554964849390589 -4.607890857102022E-01 2.840024155932847E-02 		4.502872114631478E-03 -1.221306450305357E-02 -3.665975070877847E-04
Jupiter		317.8 			-5.275529558263454 1.245295576073737 1.128044557998320E-01 				-1.820293604967591E-03 -6.987889594730591E-03 6.983553760174301E-05
Saturn		95.2 			-3.465532083720201 -9.390442158721388 3.011987735074436E-01 			4.928236490936239E-03 -1.949162448451758E-03 -1.618873304308622E-04
Uranus		14.5 			1.880522904197504E01 6.731124958996646 -2.186263035293055E-01 			-1.353999127823844E-03 3.519648378986750E-03 3.060227054236302E-05
Neptune		17.1 			2.800961259310509E01 -1.062848990803921E01 -4.266364682640224E-01 		1.092885765781478E-03 2.953231745296467E-03 -8.639750637469686E-05
Pluto		0.00219182578 	8.689886092710879 -3.186826057177828E01 8.964749712262912E-01 			3.094472637101022E-03 1.879848298464168E-04 -9.029726000469405E-04
1P/Halley 	3.6837346E-11	-2.047391195025856E+01 2.558953975492844E+01 -9.849367375470884E+00 	1.117755715408258E-05 8.444335108697083E-04 -1.368816164283901E-04
